Title,price1,price2,Code,Product_href
Lenovo ThinkPad L15 Gen 2 - 15.6" - Core i5 1135G7 - 8 Go RAM - 256 Go SSD - Français,"1 029,61 ? HT","1 235,53 ? TTC",20X3006VFR,https://www.inmac-wstore.com/lenovo-thinkpad-l15-gen-2-15-6-core-i5-1135g7-8-go-ram-256-go-ssd-francais/p7266544.htm
Lenovo ThinkPad L13 Yoga Gen 2 - 13.3" - Core i3 1115G4 - 8 Go RAM - 256 Go SSD - Français,"1 029,61 ? HT","1 235,53 ? TTC",20VK0048FR,https://www.inmac-wstore.com/lenovo-thinkpad-l13-yoga-gen-2-13-3-core-i3-1115g4-8-go-ram-256-go-ssd-francais/p7266545.htm
Lenovo ThinkPad X1 Carbon Gen 9 - 14" - Core i5 1135G7 - Evo - 16 Go RAM - 512 Go SSD - Français,"2 029,39 ? HT","2 435,27 ? TTC",20XW006TFR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-carbon-gen-9-14-core-i5-1135g7-evo-16-go-ram-512-go-ssd-francais/p7266546.htm
Lenovo ThinkPad L14 Gen 2 - 14" - Core i7 1165G7 - 8 Go RAM - 512 Go SSD - Français,"1 193,41 ? HT","1 432,09 ? TTC",20X1006BFR,https://www.inmac-wstore.com/lenovo-thinkpad-l14-gen-2-14-core-i7-1165g7-8-go-ram-512-go-ssd-francais/p7266547.htm
Lenovo ThinkPad L15 Gen 2 - 15.6" - Core i7 1165G7 - 8 Go RAM - 512 Go SSD - Français,"1 193,41 ? HT","1 432,09 ? TTC",20X3006WFR,https://www.inmac-wstore.com/lenovo-thinkpad-l15-gen-2-15-6-core-i7-1165g7-8-go-ram-512-go-ssd-francais/p7266548.htm
Lenovo ThinkPad X13 Gen 2 - 13.3" - Core i7 1165G7 - Evo - 16 Go RAM - 512 Go SSD - Français,"1 544,99 ? HT","1 853,99 ? TTC",20WK00AAFR,https://www.inmac-wstore.com/lenovo-thinkpad-x13-gen-2-13-3-core-i7-1165g7-evo-16-go-ram-512-go-ssd-francais/p7266549.htm
Lenovo ThinkPad X1 Extreme Gen 3 - 15.6" - Core i7 10750H - 16 Go RAM - 512 Go SSD - Français,"2 152,55 ? HT","2 583,06 ? TTC",20TK000HFR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-extreme-gen-3-15-6-core-i7-10750h-16-go-ram-512-go-ssd-francais/p7266550.htm
Lenovo ThinkPad T14s Gen 2 - 14" - Core i7 1165G7 - Evo - 16 Go RAM - 512 Go SSD - Français,"1 694,35 ? HT","2 033,22 ? TTC",20WM00APFR,https://www.inmac-wstore.com/lenovo-thinkpad-t14s-gen-2-14-core-i7-1165g7-evo-16-go-ram-512-go-ssd-francais/p7266551.htm
Lenovo ThinkPad X12 Detachable - 12.3" - Core i7 1160G7 - 16 Go RAM - 512 Go SSD - Français,"1 865,24 ? HT","2 238,29 ? TTC",20UW002DFR,https://www.inmac-wstore.com/lenovo-thinkpad-x12-detachable-12-3-core-i7-1160g7-16-go-ram-512-go-ssd-francais/p7266552.htm
Lenovo ThinkPad L13 Yoga Gen 2 - 13.3" - Core i5 1135G7 - 8 Go RAM - 256 Go SSD - Français,"1 144,40 ? HT","1 373,28 ? TTC",20VK0049FR,https://www.inmac-wstore.com/lenovo-thinkpad-l13-yoga-gen-2-13-3-core-i5-1135g7-8-go-ram-256-go-ssd-francais/p7266553.htm
