Title,price,rating,image_url,Product_href
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop,"??44,490",,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70,/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-15itl6-thin-light-laptop/p/itm5ffb29affcd67?pid=COMG5EAXKQ7ZH3TY&lid=LSTCOMG5EAXKQ7ZH3TYZBLPPQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_21&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG5EAXKQ7ZH3TY.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo Legion Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG...,"??60,990",4.7,https://rukminim1.flixcart.com/image/312/312/k9pynww0/computer/y/k/z/lenovo-legion-y540-gaming-laptop-original-imafrggru5fzzgyq.jpeg?q=70,/lenovo-legion-core-i5-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-y540-15irh-pg0-laptop/p/itma9b76ed1e879a?pid=COMG26R93HDJYBT5&lid=LSTCOMG26R93HDJYBT5HNML0N&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_22&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG26R93HDJYBT5.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo E41 APU Dual Core A6 A6-9225 - (4 GB/1 TB HDD/DOS) E41-45 Notebook,"??25,990",3.8,https://rukminim1.flixcart.com/image/312/312/kpzt7680/computer/q/t/s/na-notebook-lenovo-original-imag4449atwthphq.jpeg?q=70,/lenovo-e41-apu-dual-core-a6-a6-9225-4-gb-1-tb-hdd-dos-e41-45-notebook/p/itmae674a5d05fd6?pid=COMG42QMD5YZZWBE&lid=LSTCOMG42QMD5YZZWBE1P8NVV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_23&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG42QMD5YZZWBE.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo Ideapad Flex 5 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Ideapad Flex 5 14LT05 UA 2 ...,"??51,990",4.5,https://rukminim1.flixcart.com/image/312/312/kl9rssw0/computer/g/i/e/lenovo-original-imagyfw5fkyjrhmb.jpeg?q=70,/lenovo-ideapad-flex-5-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-14lt05-ua-2-1-laptop/p/itm3e0fd5c005c85?pid=COMGY5PGCE2KHHGE&lid=LSTCOMGY5PGCE2KHHGE1D8W8X&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_24&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMGY5PGCE2KHHGE.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo Legion Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG...,"??69,990",4.3,https://rukminim1.flixcart.com/image/312/312/k9pynww0/computer/y/k/z/lenovo-legion-y540-gaming-laptop-original-imafrggru5fzzgyq.jpeg?q=70,/lenovo-legion-core-i7-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-y540-15irh-pg0-laptop/p/itm2a7d71ef5c01a?pid=COMG23RKPEXM66T8&lid=LSTCOMG23RKPEXM66T8XHPTP9&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_25&otracker=CLP_Filters&fm=organic&iid=54e4a0fb-f19c-4410-b0cc-f5feb2ab21e5.COMG23RKPEXM66T8.SEARCH&ppt=None&ppn=None&ssid=nh924fp5f40000001628536890913
Lenovo IdeaPad Flex 5 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL05 Thin and Light Lapt...,"??54,990",4.4,https://rukminim1.flixcart.com/image/312/312/kll7bm80/computer/k/5/x/na-thin-and-light-laptop-lenovo-original-imagyz3cykx2awtc.jpeg?q=70,/lenovo-ideapad-flex-5-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-14itl05-thin-light-laptop/p/itm8a55b442af5aa?pid=COMGY8Y5X3TUEA3F&lid=LSTCOMGY8Y5X3TUEA3FIADZBG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_26&otracker=CLP_Filters&fm=organic&iid=54e4a0fb-f19c-4410-b0cc-f5feb2ab21e5.COMGY8Y5X3TUEA3F.SEARCH&ppt=None&ppn=None&ssid=nh924fp5f40000001628536890913
Lenovo Ideapad Flex 5 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14itl05 2 in 1 Laptop,"??56,990",4.5,https://rukminim1.flixcart.com/image/312/312/klo27bk0/computer/f/u/s/flex-5i-2-in-1-laptop-lenovo-original-imagyqvkk98gsphj.jpeg?q=70,/lenovo-ideapad-flex-5-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-14itl05-2-1-laptop/p/itm8a55b442af5aa?pid=COMGYQVKZGD2VFHA&lid=LSTCOMGYQVKZGD2VFHAJVKFPA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_27&otracker=CLP_Filters&fm=organic&iid=54e4a0fb-f19c-4410-b0cc-f5feb2ab21e5.COMGYQVKZGD2VFHA.SEARCH&ppt=None&ppn=None&ssid=nh924fp5f40000001628536890913
Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 4650U 5th Gen - (8 GB/256 GB SSD/Windows 10 Home) E14 Lapto...,"??53,990",4.3,https://rukminim1.flixcart.com/image/312/312/knqd3m80/computer/b/n/w/thinkpad-e14-laptop-lenovo-original-imag2chrjgzzggrv.jpeg?q=70,/lenovo-thinkpad-e14-gen2-ryzen-5-hexa-core-4650u-5th-gen-8-gb-256-gb-ssd-windows-10-home-laptop/p/itma57c02bad3347?pid=COMG28FUNHEKGFYT&lid=LSTCOMG28FUNHEKGFYTFU52TM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_28&otracker=CLP_Filters&fm=organic&iid=en_GiAjml6DCL1tElECMmYTQBGzKi1vU04lD3hLPr8Mm31prHh46YLHUmjGKc2NeBBZXT5Ov%2Bm5Q5C8EV7DNkv%2Bfw%3D%3D&ppt=None&ppn=None&ssid=nh924fp5f40000001628536890913
Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15 ITL 6 Thin and Light Laptop,"??56,990",3.8,https://rukminim1.flixcart.com/image/312/312/kpvivm80/computer/l/5/f/na-thin-and-light-laptop-lenovo-original-imag4yhmuama8fpr.jpeg?q=70,/lenovo-ideapad-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-15-itl-6-thin-light-laptop/p/itm2972882b5dc63?pid=COMG3TZGWAF8SHDK&lid=LSTCOMG3TZGWAF8SHDK3CRKZD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_29&otracker=CLP_Filters&fm=organic&iid=54e4a0fb-f19c-4410-b0cc-f5feb2ab21e5.COMG3TZGWAF8SHDK.SEARCH&ppt=None&ppn=None&ssid=nh924fp5f40000001628536890913
Lenovo Legion 5 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX ...,"??82,990",4.7,https://rukminim1.flixcart.com/image/312/312/kggviq80/computer/x/6/g/lenovo-original-imafwpajqjvfhrea.jpeg?q=70,/lenovo-legion-5-core-i7-10th-gen-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-15imh05-gaming-laptop/p/itm799c8d74d9b0a?pid=COMG4BHEAZTYYSUM&lid=LSTCOMG4BHEAZTYYSUMBZE5EB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_30&otracker=CLP_Filters&fm=organic&iid=54e4a0fb-f19c-4410-b0cc-f5feb2ab21e5.COMG4BHEAZTYYSUM.SEARCH&ppt=None&ppn=None&ssid=nh924fp5f40000001628536890913
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15ITL6 Thin and Lig...,"??55,990",4,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/n/n/a/na-thin-and-light-laptop-lenovo-original-imag3dnyeycazpvf.jpeg?q=70,/lenovo-ideapad-slim-3i-2021-core-i5-11th-gen-8-gb-256-gb-ssd-windows-10-home-15itl6-thin-light-laptop/p/itm24161fdf83907?pid=COMG36BSUKGYMGKD&lid=LSTCOMG36BSUKGYMGKDSRV2LQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_31&otracker=CLP_Filters&fm=organic&iid=54e4a0fb-f19c-4410-b0cc-f5feb2ab21e5.COMG36BSUKGYMGKD.SEARCH&ppt=None&ppn=None&ssid=nh924fp5f40000001628536890913
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA ...,"??57,990",4.3,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/f/k/b/na-gaming-laptop-lenovo-original-imafzgdkvx9guy8q.jpeg?q=70,/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-4600h-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-60-hz-15arh05-laptop/p/itm64d83a7c01261?pid=COMG3HHRTM3YFGTU&lid=LSTCOMG3HHRTM3YFGTU3SQHHJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_32&otracker=CLP_Filters&fm=organic&iid=en_GiAjml6DCL1tElECMmYTQBGzKi1vU04lD3hLPr8Mm33u21J0kjUf6R07mdQL%2BJf%2FHWQ%2BYJTIMZ7IPN99YZTcww%3D%3D&ppt=None&ppn=None&ssid=nh924fp5f40000001628536890913
