Title,Price excl. btw,price incl. btw,Code,product_href
Lenovo ThinkPad P43s i7 16GB RAM 512GB SSD Laptop - Zwart,"1.650,-
       ","1.996,50",20RH001AMB,https://www.centralpoint.be/nl/laptops/lenovo/thinkpad-p43s-i7-16gb-ram-512gb-ssd-art-20rh001amb-num-8472429/
Lenovo ThinkPad X12 Detachable Laptop - Zwart,"1.655,-
       ","2.002,55",20UW000JMB,https://www.centralpoint.be/nl/laptops/lenovo/x12-detachable-i5-1130g7-16gb-256gb-w10p-art-20uw000jmb-num-12203900/
Lenovo ThinkPad X1 Carbon Laptop - Zwart,"1.660,-
       ","2.008,60",20U90082MB,https://www.centralpoint.be/nl/laptops/lenovo/tp-x1-car-14-0-i7-10510u-16gb-512gb-w10p-art-20u90082mb-num-12146804/
Lenovo NB TP T15p G1 I7 32G 512G 10P Laptops,"1.671,-
       ","2.021,91",20TNS05L00,https://www.centralpoint.be/nl/laptops/lenovo/nb-tp-t15p-g1-i7-32g-512g-10p-art-20tns05l00-num-12213733/
Lenovo ThinkPad P15v Laptop - Zwart,"1.678,-
       ","2.030,38",20TQ003KMB,https://www.centralpoint.be/nl/laptops/lenovo/p15v-g1-t-ci7-15-6in-16-512gb-w10p-art-20tq003kmb-num-11735193/
Lenovo ThinkPad X1 Yoga Laptop - Grijs,"1.691,-
       ","2.046,11",20XY003DMB,https://www.centralpoint.be/nl/laptops/lenovo/tp-x1-x1-yoga-g6-t-14-i5-1135g7-w10p-art-20xy003dmb-num-12224756/
Lenovo TP X1 X1 Carbon G9 T 14 I7-1165G7 W10P Laptops,"1.699,-
       ","2.055,79",20XW005NMB,https://www.centralpoint.be/nl/laptops/lenovo/tp-x1-x1-carbon-g9-t-14-i7-1165g7-w10p-art-20xw005nmb-num-12224757/
Lenovo ThinkPad X1 Nano Laptop - Zwart,"1.727,-
       ","2.089,67",20UN002SMB,https://www.centralpoint.be/nl/laptops/lenovo/x1-nano-g1-t-i7-1160g7-16g-512gb-13-w10p-art-20un002smb-num-12203897/
Lenovo BTO/TP X1 Yoga G5 I7-10610U 16/256SSD Laptops,"1.734,-
       ","2.098,14",20UCS1TY05,https://www.centralpoint.be/nl/laptops/lenovo/bto-tp-x1-yoga-g5-i7-10610u-16-256ssd-art-20ucs1ty05-num-12017718/
Lenovo ThinkPad X1 Yoga Laptop - Grijs,"1.742,-
       ","2.107,82",20UB004HMB,https://www.centralpoint.be/nl/laptops/lenovo/x1-yoga-art-20ub004hmb-num-12028248/
Lenovo ThinkPad P14s Laptop - Zwart,"1.748,-
       ","2.115,08",20S40015MB,https://www.centralpoint.be/nl/laptops/lenovo/p14s-art-20s40015mb-num-11212712/
Lenovo ThinkPad P15s Laptop - Zwart,"1.748,-
       ","2.115,08",20T40016MB,https://www.centralpoint.be/nl/laptops/lenovo/ts-p15s-g1-i7-10610u-16-512ssd-art-20t40016mb-num-11212756/
Lenovo BTO/NB TP X1Y G5 I5 8G 256G10P Laptops,"1.751,-
       ","2.118,71",20UBS0TW00,https://www.centralpoint.be/nl/laptops/lenovo/bto-nb-tp-x1y-g5-i5-8g-256g10p-art-20ubs0tw00-num-12135752/
Lenovo TS/P15s G2 I7-1185G7 16/1TBSSD Laptops,"1.802,-
       ","2.180,42",20W6005TMB,https://www.centralpoint.be/nl/laptops/lenovo/ts-p15s-g2-i7-1185g7-16-1tbssd-art-20w6005tmb-num-12264005/
Lenovo ThinkPad P15 Laptop - Zwart,"1.844,-
       ","2.231,24",20ST003KMB,https://www.centralpoint.be/nl/laptops/lenovo/ts-nb-ws-p15-g1-i7-16g-512g-10p-art-20st003kmb-num-12028202/
Lenovo ThinkPad X1 Yoga Laptop - Grijs,"1.897,-
       ","2.295,37",20XY003JMB,https://www.centralpoint.be/nl/laptops/lenovo/tp-x1-x1-yoga-g6-t-14-i5-1135g7-w10p-art-20xy003jmb-num-12224758/
Lenovo BTO/TP P1 G3 I7-10850H 16/512SSD Laptops,"1.899,-
       ","2.297,79",20THS0D600,https://www.centralpoint.be/nl/laptops/lenovo/bto-tp-p1-g3-i7-10850h-16-512ssd-art-20ths0d600-num-12258031/
Lenovo ThinkPad X1 Yoga Laptop - Grijs,"1.905,-
       ","2.305,05",20UB004JMB,https://www.centralpoint.be/nl/laptops/lenovo/ts-nb-tp-x1y-g5-i7-16g-512g-10p-art-20ub004jmb-num-12028232/
Lenovo ThinkPad X1 Extreme Laptop - Zwart,"1.968,-
       ","2.381,28",20QV001GMB,https://www.centralpoint.be/nl/laptops/lenovo/x1-extreme-ci7-16-512gb-15-6in-w10p-art-20qv001gmb-num-10319222/
Lenovo ThinkPad X1 Yoga Titanium Laptop,"2.004,-
       ","2.424,84",20QA001JMB,https://www.centralpoint.be/nl/laptops/lenovo/x1-titanium-i5-1130g7-16-256gb-13-5-w10p-art-20qa001jmb-num-12203891/
Lenovo ThinkPad X1 Yoga Laptop - Grijs,"2.023,-
       ","2.447,83",20XY004FMB,https://www.centralpoint.be/nl/laptops/lenovo/tp-x1-x1-yoga-g6-t-14-i7-1165g7-w10p-art-20xy004fmb-num-12224759/
Lenovo ThinkPad P15 Laptop - Zwart,"2.135,-
       ","2.583,35",20ST001LMB,https://www.centralpoint.be/nl/laptops/lenovo/ts-nb-ws-p15-g1-i7-16g-512g-10p-art-20st001lmb-num-12028242/
Lenovo ThinkPad P1 Laptop - Zwart,"2.304,-
       ","2.787,84",20TH000CMB,https://www.centralpoint.be/nl/laptops/lenovo/p1-art-20th000cmb-num-11735181/
Lenovo ThinkPad P17 Laptop - Zwart,"2.304,-
       ","2.787,84",20SN001JMB,https://www.centralpoint.be/nl/laptops/lenovo/p17-art-20sn001jmb-num-12028204/
Lenovo ThinkPad X1 Yoga Titanium Laptop,"2.364,-
       ","2.860,44",20QA001RMB,https://www.centralpoint.be/nl/laptops/lenovo/x1-titanium-i7-1160g7-16-512gb-13-5-w10p-art-20qa001rmb-num-12203894/
Lenovo ThinkPad P17 Gen 1 - AZERTY Laptop - Zwart,"2.366,-
       ","2.862,86",20SN002CMB,https://www.centralpoint.be/nl/laptops/lenovo/p17-gen-1-art-20sn002cmb-num-11735171/
Lenovo ThinkPad P1 Laptop - Zwart,"2.441,-
       ","2.953,61",20QT0034MB,https://www.centralpoint.be/nl/laptops/lenovo/ts-p1-g2-i7-9850h-16-1tb-art-20qt0034mb-num-11212706/
Lenovo ThinkPad T15g Laptop - Zwart,"2.443,-
       ","2.956,03",20UR000SMB,https://www.centralpoint.be/nl/laptops/lenovo/ts-nb-ws-p15g-g1-i7-16g-512g-10p-art-20ur000smb-num-12028250/
Lenovo ThinkPad X1 Extreme Laptop - Zwart,"2.479,-
       ","2.999,59",20TK000AMB,https://www.centralpoint.be/nl/laptops/lenovo/x1-extreme-art-20tk000amb-num-11735185/
Lenovo ThinkPad P17 Gen 1 - AZERTY Laptop - Zwart,"2.597,-
       ","3.142,37",20SN0027MB,https://www.centralpoint.be/nl/laptops/lenovo/p17-gen-1-art-20sn0027mb-num-11735169/
Lenovo TS/T15p G1 I7-10850H 32/1TBSSD Laptops,"2.605,-
       ","3.152,05",20TM0004MB,https://www.centralpoint.be/nl/laptops/lenovo/ts-t15p-g1-i7-10850h-32-1tbssd-art-20tm0004mb-num-12020714/
