Title,Online_price,MRP_price,image_url,Product_href
"(Renewed) Lenovo Intel 3rd Gen Core i5 3320M 12.5-Inch (31.75 cms) 1366x768 Laptop (4 GB/750 GB HDD/Windows/MS Office Pro 2019 /Intel/Black/1.45 Kg), LenovoThinkpad X230","39,999",,https://m.media-amazon.com/images/I/41H-YztRRKL._AC_UL320_.jpg,/Renewed-Lenovo-12-5-Inch-1366x768-LenovoThinkpad/dp/B08S752MGP/ref=sr_1_131?dchild=1&qid=1628622560&s=computers&sr=1-131
"Lenovo Legion 5 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD Gaming Laptop (8GB/512GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82B500FJIN","84,500","₹92,290₹92,290",https://m.media-amazon.com/images/I/61ItfhQmaFL._AC_UL320_.jpg,/Lenovo-Windows-Graphics-Phantom-82B500FJIN/dp/B08GGBC2ST/ref=sr_1_132?dchild=1&qid=1628622560&s=computers&sr=1-132
"(Renewed) Lenovo Intel 4th Gen Core i5 4200M 14-Inch (35.56 cms) 1366x768 Laptop (4 GB/500 GB/Windows/MS Office Pro 2019 /Intel HD Graphics 4600/Black/1.50 Kg), Thinkpad L440","32,499","₹80,000₹80,000",https://m.media-amazon.com/images/I/41h23imJbDL._AC_UL320_.jpg,/Renewed-Lenovo-1366x768-Graphics-Thinkpad/dp/B08S73KG3J/ref=sr_1_133?dchild=1&qid=1628622560&s=computers&sr=1-133
"Lenovo Legion 5 10th Gen Intel Core i5 15.6"" FHD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Win10/Office2019/120 Hz/NVIDIA GTX 1650Ti 4GB GDDR6/with M300 RGB Gaming Mouse/Phantom Black/2.3Kg), 82AU004NIN","83,999","₹1,25,890₹1,25,890",https://m.media-amazon.com/images/I/61p3lA4N3uL._AC_UL320_.jpg,/Lenovo-Legion-Office2019-Phantom-82AU004NIN/dp/B08GG9HYPG/ref=sr_1_134?dchild=1&qid=1628622560&s=computers&sr=1-134
"(Renewed) Lenovo ThinkPad L430 14-inch Laptop (Core i5 3rd Gen/4 GB/256 GB SSD/Windows 10/MS Office Pro 2019/Integrated Graphics/Superior Web-conferencing), Black","32,599","₹60,000₹60,000",https://m.media-amazon.com/images/I/71LAAhw+9bL._AC_UL320_.jpg,
"Lenovo IdeaPad Slim 5 AMD Ryzen 7 4700U 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.39Kg), 81YM002TIN","60,785","₹79,690₹79,690",https://m.media-amazon.com/images/I/61LiK6CvJHL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg6_1?ie=UTF8&adId=A05924173CNU7BYYEUYYB&url=%2FLenovo-Integrated-Graphics-Graphite-81YM002TIN%2Fdp%2FB087D3VVW3%2Fref%3Dsr_1_136_sspa%3Fdchild%3D1%26qid%3D1628622560%26s%3Dcomputers%26sr%3D1-136-spons%26psc%3D1&qualifier=1628622560&id=3470364532863950&widgetName=sp_mtf_browse
"Lenovo Yoga Slim 7 AMD Ryzen 7 4800U 14"" (35.56cms) Full HD IPS Thin and Light Laptop (8GB/512GB SSD/Windows 10/MS Office 2019/Integrated AMD Radeon Graphics/Slate Grey/1.33Kg), 82A2008VIN","75,700","₹89,000₹89,000",https://m.media-amazon.com/images/I/61tcZHczA8L._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg6_1?ie=UTF8&adId=A0465615CU6EJJSCEDA8&url=%2FLenovo-14-inch-Integrated-Graphics-82A2008VIN%2Fdp%2FB08LKQBR8R%2Fref%3Dsr_1_137_sspa%3Fdchild%3D1%26qid%3D1628622560%26s%3Dcomputers%26sr%3D1-137-spons%26psc%3D1&qualifier=1628622560&id=3470364532863950&widgetName=sp_mtf_browse
"Lenovo IdeaPad Slim 5 AMD Ryzen 5 5500U 15.6"" (39.63cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82LN00GTIN","57,990","₹82,490₹82,490",https://m.media-amazon.com/images/I/71jP9Frsr6L._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg6_1?ie=UTF8&adId=A07022566JL3I54L63Y8&url=%2FLenovo-Keyboard-Fingerprint-Graphite-82LN00GTIN%2Fdp%2FB098FK9KQ2%2Fref%3Dsr_1_138_sspa%3Fdchild%3D1%26qid%3D1628622560%26s%3Dcomputers%26sr%3D1-138-spons%26psc%3D1&qualifier=1628622560&id=3470364532863950&widgetName=sp_mtf_browse
"(Renewed) Lenovo Intel 4th Gen Core i5 4200M 14-Inch (35.56 cms) 720p HD Ready Laptop (4 GB/320 GB/Windows 10 Pro/Intel HD Graphics 4600/Black/2.26 Kg), Thinkpad L440","32,999","₹1,04,000₹1,04,000",https://m.media-amazon.com/images/I/41uod9T2ZiL._AC_UL320_.jpg,/Renewed-Lenovo-ThinkPad-L440-i5-4GB-320GB-Graphics/dp/B07V4CCJ3H/ref=sr_1_139?dchild=1&qid=1628622560&s=computers&sr=1-139
"(Renewed) Lenovo T430 14-inch Laptop (Core i7/ 16GB RAM/256GB SSD/Windows 10 Pro/MS Office 2019, Intel Integrated Graphics, PAN INDIA WARRANTY) Black","51,999","₹80,000₹80,000",https://m.media-amazon.com/images/I/61lDNohfRnL._AC_UL320_.jpg,/Renewed-Lenovo-Integrated-Graphics-WARRANTY/dp/B092Z9PXWT/ref=sr_1_140?dchild=1&qid=1628622560&s=computers&sr=1-140
