product_name,product_price1,product_price2,image_url,product_href
Lenovo ThinkPad P15s Gen 1 20T4 - Core i7 10510U / 1.8 GHz  ,"1.334,87",,https://m.media-amazon.com/images/I/51fr-HYVNUL._AC_UL320_.jpg,/Lenovo-ThinkPad-P15s-20T4000QGE-IPS-Panel/dp/B089P2CH8N/ref=sr_1_21?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-21
"Lenovo ThinkPad E15 G2 - Intel Core i7-1165G7 2,80GHz (MX450/Win10)  ","1.134,95",,https://m.media-amazon.com/images/I/51XOUCsJleL._AC_UL320_.jpg,/Lenovo-ThinkPad-E15-G2-i7-1165G7/dp/B08PMMJXGK/ref=sr_1_22?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-22
"Lenovo IdeaPad 3i Laptop 35,6 cm (14 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Slim Notebook (Intel Core i3-1115G4, 8GB RAM, 256GB SSD, Intel UHD-Grafik, Windows 10 Home S) grau  ","562,85",,https://m.media-amazon.com/images/I/41OJdE9aHvL._AC_UL320_.jpg,/Lenovo-1920x1080-entspiegelt-i3-1115G4-UHD-Grafik/dp/B08THNYG3H/ref=sr_1_23?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-23
"Lenovo THINKPAD E14 G2 Intel Core i7-1165G7 2,80GHz (Win10)  ","1.082,82",,https://m.media-amazon.com/images/I/61PtQ5KEldL._AC_UL320_.jpg,/Lenovo-THINKPAD-Intel-i7-1165G7-80GHz/dp/B08PMVV9D5/ref=sr_1_24?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-24
"Lenovo IdeaPad 3 Chromebook 35,6 cm (14 Zoll, 1920x1080, Full HD, entspiegelt) Ultraslim Notebook (Intel Celeron N4020, 4GB RAM, 64GB eMMC, Intel UHD-Grafik 600, ChromeOS) dunkelblau  ","342,63",,https://m.media-amazon.com/images/I/71pvUECHN-L._AC_UL320_.jpg,/Lenovo-Chromebook-entspiegelt-UHD-Grafik-dunkelblau/dp/B08CZXFKDP/ref=sr_1_25?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-25
"Lenovo ThinkPad E15 G3 20YG003VGE 15""FHD R7-5700U 16GB/512GB Win10 Pro  ","1.006,29",,https://m.media-amazon.com/images/I/51OmaPn+VNS._AC_UL320_.jpg,/Lenovo-ThinkPad-20YG003VGE-R7-5700U-512GB-schwarz/dp/B0987SBK35/ref=sr_1_26?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-26
ThinkBook 15 G2  ,"818,95","843,64 €",https://m.media-amazon.com/images/I/51e9e12zYtL._AC_UL320_.jpg,/Lenovo-20VE0006GE-ThinkBook-15-G2/dp/B08PMJ8Y94/ref=sr_1_27?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-27
Lenovo THINKPAD E15 CI7-1165G7 16GB  ,"1.037,80","1.064,70 €",https://m.media-amazon.com/images/I/51XOUCsJleL._AC_UL320_.jpg,/Lenovo-THINKPAD-E15-CI7-1165G7-16GB/dp/B08PMHHQP9/ref=sr_1_28?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-28
LENOVO ThinkPad E14 G1 i5-10210U TS  ,"861,56",,https://m.media-amazon.com/images/I/51DOiruGI6L._AC_UL320_.jpg,/Lenovo-ThinkPad-i5-10210U-512GB-Win10Pro/dp/B083M8VX97/ref=sr_1_29?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-29
Lenovo ThinkPad E15 Gen 2 20T8 - Ryzen 5 4500U / 2.3 GHz  ,"799,00",,https://m.media-amazon.com/images/I/51h1Sq2BkrL._AC_UL320_.jpg,/Lenovo-ThinkPad-20T8000MGE-R5-4500U-256GB/dp/B08B1VGFQJ/ref=sr_1_30?dchild=1&qid=1629175605&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-30
